gene_A,gene_B,lcbs_length,peak_col_pos,M,time_baseline_us,time_ms_us,speedup,lcbs_sequence
10075_at,10170_g_at,8,15,132,177.3000112734735,477.90000098757446,0.3709981395837732,"[2, 3, 7, 8, 7, 5, 3, 1]"
10033_at,10160_at,8,8,132,171.69999773614109,463.6000085156411,0.37036236967702346,"[5, 9, 7, 6, 4, 2, 1, 0]"
10078_at,10155_at,9,8,132,176.2000028975308,462.70000166259706,0.3808083040077805,"[0, 3, 8, 9, 8, 4, 2, 1, 0]"
10080_at,10124_at,8,4,132,171.69999773614109,459.7999795805663,0.3734232391501352,"[5, 7, 9, 7, 6, 3, 1, 0]"
10085_at,10087_at,11,23,132,172.59997548535466,457.1000172290951,0.37759783193980684,"[0, 1, 2, 3, 5, 8, 9, 8, 4, 1, 0]"
10001_at,10068_i_at,9,9,132,175.6999990902841,451.600004453212,0.38906111018094,"[0, 3, 4, 6, 7, 6, 4, 3, 0]"
10023_at,10151_at,9,13,132,172.3000023048371,458.2999972626567,0.37595462215569275,"[0, 3, 5, 6, 9, 8, 7, 4, 2]"
10023_at,10171_at,9,2,132,172.20000154338777,461.6999940481037,0.37296946883964344,"[4, 7, 9, 8, 7, 5, 4, 3, 1]"
10033_at,10109_at,8,15,132,175.3999968059361,482.7000084333122,0.3633726822902441,"[5, 7, 9, 7, 6, 3, 2, 0]"
10048_at,10177_at,9,28,132,173.40001068077981,468.1999853346497,0.3703545837508747,"[1, 2, 3, 4, 6, 7, 8, 6, 5]"
10161_g_at,10187_at,7,15,132,170.30001617968082,467.8000113926828,0.364044489166818,"[4, 5, 7, 5, 4, 2, 0]"
10026_at,10085_at,10,19,132,173.39998157694936,465.0999908335507,0.3728230165435662,"[0, 1, 2, 5, 6, 7, 9, 8, 4, 3]"
10087_at,10103_at,11,6,132,172.70000535063446,467.8000113926828,0.3691748634988079,"[3, 4, 6, 7, 9, 8, 7, 6, 4, 1, 0]"
10001_at,10097_at,10,11,132,170.49998859874904,455.000001238659,0.37472524864745543,"[0, 3, 4, 6, 7, 8, 6, 4, 3, 2]"
10038_i_at,10154_at,8,1,132,170.2000154182315,459.00000259280205,0.3708061317141712,"[8, 7, 6, 5, 4, 2, 1, 0]"
10037_at,10150_at,8,0,132,173.39998157694936,460.90001706033945,0.3762203843751397,"[9, 8, 7, 5, 3, 2, 1, 0]"
10100_at,10136_at,9,13,132,173.20000915788114,471.49998135864735,0.3673383160245265,"[1, 2, 5, 7, 9, 3, 2, 1, 0]"
10069_f_at,10072_at,8,16,132,172.10000078193843,483.3000130020082,0.3560935157293764,"[0, 4, 5, 9, 8, 6, 2, 1]"
10148_at,10171_at,9,26,132,174.99999376013875,466.29999997094274,0.37529486118602573,"[0, 1, 6, 7, 8, 9, 6, 3, 2]"
10003_f_at,10018_at,10,20,132,182.9999964684248,461.89999557100236,0.3961896475928725,"[0, 2, 3, 7, 9, 8, 7, 6, 5, 4]"
10033_at,10137_at,7,1,132,174.7000205796212,459.1000033542514,0.3805271603207089,"[5, 9, 6, 4, 3, 2, 1]"
10056_at,10186_s_at,9,13,132,172.3000023048371,456.4999835565686,0.37743703945497736,"[5, 6, 9, 7, 6, 5, 4, 3, 0]"
10070_at,10110_at,8,24,132,182.6999941840768,464.7999885492027,0.39307228632759866,"[2, 3, 5, 9, 7, 4, 3, 0]"
10033_at,10038_i_at,8,4,132,172.8000061120838,464.39998550340533,0.3720930480322263,"[7, 9, 7, 6, 4, 2, 1, 0]"
